,zipcode_of_incident,date_rec,dow_rec,hour_rec,col,dens,houses,pop,unit_0_freq,unit_1_freq,unit_2_freq,unit_3_freq,unit_4_freq,unit_5_freq,unit_6_freq,unit_7_freq,unit_8_freq,unit_type
21,94107,24,2,10,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,1
22,94117,24,2,11,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,1
23,94133,24,2,14,178.0,36931,14941,27885,34,140,1,84,51,8,5,4,39,1
24,94102,24,2,8,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
25,94117,24,2,15,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,3
26,94102,24,2,13,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
27,94134,24,2,19,155.2,17616,12699,42274,14,81,1,100,25,12,3,0,14,3
28,94110,24,2,3,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
29,94102,24,2,11,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
30,94102,24,2,12,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
31,94109,24,2,11,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
32,94117,24,2,14,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,1
33,94103,24,2,13,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
34,94112,24,2,20,154.3,25329,24570,85205,23,165,0,151,41,28,5,0,36,3
35,94118,24,2,3,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,3
36,94109,24,2,11,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
37,94110,24,2,16,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
38,94103,24,2,23,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
39,94109,24,2,13,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
40,94114,24,2,17,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,3
41,94111,24,2,16,158.4,10116,2626,3481,13,75,0,54,20,7,2,6,19,4
42,94122,24,2,19,156.3,26616,24615,62918,26,132,0,93,30,9,5,0,29,1
43,94158,24,2,15,139.0,9247,3629,6080,8,31,0,28,8,1,1,0,11,1
44,94102,24,2,21,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
45,94107,24,2,4,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,1
46,94110,24,2,7,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
47,94102,24,2,10,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
48,94114,24,2,14,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,6
49,94109,24,2,18,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
50,94109,24,2,23,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
51,94109,24,2,23,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
52,94114,24,2,7,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,3
53,94110,24,2,10,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,4
54,94110,24,2,22,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,8
55,94105,24,2,17,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,1
56,94109,24,2,13,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,4
57,94107,24,2,20,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,1
58,94109,24,2,23,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,8
59,94114,24,2,6,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,1
60,94102,24,2,20,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
61,94102,24,2,18,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
62,94102,24,2,4,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
63,94115,24,2,0,160.7,31529,19430,35178,39,171,1,112,56,10,5,0,50,1
64,94103,24,2,18,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
65,94102,24,2,16,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
66,94109,24,2,20,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,0
67,94110,24,2,19,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
68,94105,24,2,15,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,1
69,94102,24,2,14,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
70,94109,24,2,14,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
71,94108,24,2,11,175.6,55226,8997,14914,27,81,0,58,26,6,1,0,42,3
72,94118,24,2,19,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,0
73,94158,24,2,17,139.0,9247,3629,6080,8,31,0,28,8,1,1,0,11,1
74,94102,24,2,11,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
75,94117,24,2,14,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,7
76,94131,24,2,22,157.2,13828,13952,28756,16,72,0,71,16,10,3,0,17,0
77,94117,24,2,18,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,1
78,94117,24,2,14,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,6
79,94102,24,2,8,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
80,94112,24,2,13,154.3,25329,24570,85205,23,165,0,151,41,28,5,0,36,1
81,94124,24,2,7,155.9,7298,11430,35954,29,192,0,204,33,16,3,1,36,3
82,94107,24,2,21,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,4
83,94103,24,2,23,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,8
84,94107,24,2,20,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,8
85,94103,24,2,18,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,4
86,94118,24,2,3,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,3
87,94131,24,2,22,157.2,13828,13952,28756,16,72,0,71,16,10,3,0,17,8
88,94118,24,2,22,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,4
89,94131,24,2,14,157.2,13828,13952,28756,16,72,0,71,16,10,3,0,17,3
90,94102,24,2,3,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
91,94102,24,2,15,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
92,94133,24,2,12,178.0,36931,14941,27885,34,140,1,84,51,8,5,4,39,1
93,94103,24,2,11,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,8
94,94117,24,2,8,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,1
95,94121,24,2,11,163.0,14061,19311,43332,17,78,0,66,21,9,2,3,18,3
96,94103,24,2,13,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
97,94102,24,2,15,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,0
98,94105,24,2,4,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,3
99,94102,24,2,9,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
100,94104,24,2,7,197.8,6392,360,496,6,26,0,15,9,2,2,0,15,0
101,94110,24,2,8,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
102,94107,24,2,18,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,3
103,94111,24,2,16,158.4,10116,2626,3481,13,75,0,54,20,7,2,6,19,8
104,94118,24,2,19,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,1
105,94103,24,2,0,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
106,94103,24,2,23,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,0
107,94102,24,2,15,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
108,94109,24,2,23,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,0
109,94102,24,2,13,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
110,94109,24,2,11,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
111,94110,24,2,10,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
112,94121,24,2,10,163.0,14061,19311,43332,17,78,0,66,21,9,2,3,18,1
113,94102,24,2,15,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
114,94109,24,2,16,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
115,94105,24,2,4,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,1
116,94109,24,2,19,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
117,94112,24,2,17,154.3,25329,24570,85205,23,165,0,151,41,28,5,0,36,5
118,94105,24,2,19,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,3
119,94115,24,2,10,160.7,31529,19430,35178,39,171,1,112,56,10,5,0,50,3
120,94103,24,2,23,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
121,94103,24,2,14,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
122,94110,24,2,8,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
123,94102,24,2,16,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
124,94110,24,2,1,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
125,94110,24,2,7,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
126,94102,24,2,4,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,8
127,94118,24,2,16,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,1
128,94109,24,2,9,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
129,94107,24,2,3,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,0
130,94107,24,2,3,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,1
131,94103,24,2,23,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
132,94124,24,2,20,155.9,7298,11430,35954,29,192,0,204,33,16,3,1,36,3
133,94107,24,2,21,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,1
134,94115,24,2,21,160.7,31529,19430,35178,39,171,1,112,56,10,5,0,50,3
135,94158,24,2,6,139.0,9247,3629,6080,8,31,0,28,8,1,1,0,11,4
136,94105,24,2,11,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,4
137,94110,24,2,22,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
138,94103,24,2,7,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,4
139,94116,24,2,23,156.9,18021,16851,46594,10,87,0,70,25,9,2,0,15,1
140,94110,24,2,6,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,8
141,94124,24,2,9,155.9,7298,11430,35954,29,192,0,204,33,16,3,1,36,1
142,94115,24,2,21,160.7,31529,19430,35178,39,171,1,112,56,10,5,0,50,1
143,94105,24,2,12,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,8
144,94122,24,2,10,156.3,26616,24615,62918,26,132,0,93,30,9,5,0,29,1
145,94112,24,2,7,154.3,25329,24570,85205,23,165,0,151,41,28,5,0,36,4
146,94110,24,2,7,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
147,94107,24,2,15,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,3
148,94102,24,2,17,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,0
149,94109,24,2,14,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,8
150,94131,24,2,1,157.2,13828,13952,28756,16,72,0,71,16,10,3,0,17,1
151,94134,24,2,20,155.2,17616,12699,42274,14,81,1,100,25,12,3,0,14,3
152,94109,24,2,23,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
153,94112,24,2,12,154.3,25329,24570,85205,23,165,0,151,41,28,5,0,36,1
154,94102,24,2,19,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
155,94105,24,2,8,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,4
156,94123,24,2,16,162.7,25083,15429,25600,19,70,0,38,29,6,3,4,23,4
157,94123,24,2,23,162.7,25083,15429,25600,19,70,0,38,29,6,3,4,23,1
158,94103,24,2,18,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,4
159,94110,24,2,5,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
160,94109,24,2,22,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,4
161,94127,24,2,15,156.2,11839,8077,10960,10,38,1,18,6,2,3,3,9,3
162,94110,24,2,7,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
163,94114,24,2,11,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,1
164,94102,24,2,10,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
165,94134,24,2,18,155.2,17616,12699,42274,14,81,1,100,25,12,3,0,14,1
166,94102,24,2,7,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
167,94115,24,2,20,160.7,31529,19430,35178,39,171,1,112,56,10,5,0,50,3
168,94118,24,2,16,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,5
169,94158,24,2,15,139.0,9247,3629,6080,8,31,0,28,8,1,1,0,11,3
170,94134,24,2,7,155.2,17616,12699,42274,14,81,1,100,25,12,3,0,14,3
171,94133,24,2,13,178.0,36931,14941,27885,34,140,1,84,51,8,5,4,39,1
172,94110,24,2,19,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
173,94102,24,2,13,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
174,94102,24,2,8,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,8
175,94102,24,2,4,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
176,94112,24,2,13,154.3,25329,24570,85205,23,165,0,151,41,28,5,0,36,3
177,94110,24,2,21,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,0
178,94133,24,2,22,178.0,36931,14941,27885,34,140,1,84,51,8,5,4,39,8
179,94134,24,2,23,155.2,17616,12699,42274,14,81,1,100,25,12,3,0,14,4
180,94102,24,2,17,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
181,94110,24,2,23,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
182,94109,24,2,14,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
183,94103,24,2,17,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
184,94109,24,2,5,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,4
185,94122,24,2,10,156.3,26616,24615,62918,26,132,0,93,30,9,5,0,29,8
186,94102,24,2,12,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
187,94103,24,2,17,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
188,94110,24,2,19,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
189,94112,24,2,17,154.3,25329,24570,85205,23,165,0,151,41,28,5,0,36,1
190,94121,24,2,9,163.0,14061,19311,43332,17,78,0,66,21,9,2,3,18,1
191,94103,24,2,11,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,0
192,94103,24,2,18,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
193,94121,24,2,20,163.0,14061,19311,43332,17,78,0,66,21,9,2,3,18,8
194,94107,24,2,19,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,1
195,94110,24,2,22,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
196,94131,24,2,22,157.2,13828,13952,28756,16,72,0,71,16,10,3,0,17,0
197,94102,24,2,8,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
198,94107,24,2,10,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,1
199,94110,24,2,18,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
200,94110,24,2,1,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
201,94109,24,2,13,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
202,94104,24,2,7,197.8,6392,360,496,6,26,0,15,9,2,2,0,15,8
203,94123,24,2,19,162.7,25083,15429,25600,19,70,0,38,29,6,3,4,23,1
204,94118,24,2,15,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,3
205,94105,24,2,6,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,1
206,94103,24,2,23,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
207,94134,24,2,7,155.2,17616,12699,42274,14,81,1,100,25,12,3,0,14,1
208,94110,24,2,21,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,0
209,94102,24,2,12,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
210,94102,24,2,11,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
211,94105,24,2,2,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,3
212,94102,24,2,22,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,5
213,94131,24,2,14,157.2,13828,13952,28756,16,72,0,71,16,10,3,0,17,8
214,94107,24,2,14,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,3
215,94109,24,2,22,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
216,94115,24,2,0,160.7,31529,19430,35178,39,171,1,112,56,10,5,0,50,3
217,94117,24,2,18,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,1
218,94118,24,2,16,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,3
219,94111,24,2,16,158.4,10116,2626,3481,13,75,0,54,20,7,2,6,19,3
220,94114,24,2,10,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,1
221,94115,24,2,15,160.7,31529,19430,35178,39,171,1,112,56,10,5,0,50,1
222,94102,24,2,11,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
223,94110,24,2,11,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
224,94121,24,2,13,163.0,14061,19311,43332,17,78,0,66,21,9,2,3,18,1
225,94109,24,2,6,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
226,94117,24,2,14,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,3
227,94103,24,2,14,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
228,94122,24,2,22,156.3,26616,24615,62918,26,132,0,93,30,9,5,0,29,1
229,94102,24,2,4,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
230,94115,24,2,15,160.7,31529,19430,35178,39,171,1,112,56,10,5,0,50,0
231,94103,24,2,3,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
232,94123,24,2,19,162.7,25083,15429,25600,19,70,0,38,29,6,3,4,23,0
233,94133,24,2,13,178.0,36931,14941,27885,34,140,1,84,51,8,5,4,39,0
234,94103,24,2,17,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
235,94121,24,2,23,163.0,14061,19311,43332,17,78,0,66,21,9,2,3,18,1
236,94118,24,2,16,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,5
237,94114,24,2,11,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,4
238,94110,24,2,8,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,4
239,94109,24,2,10,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
240,94103,24,2,1,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
241,94102,24,2,7,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
242,94116,24,2,10,156.9,18021,16851,46594,10,87,0,70,25,9,2,0,15,4
243,94108,24,2,11,175.6,55226,8997,14914,27,81,0,58,26,6,1,0,42,1
244,94108,24,2,16,175.6,55226,8997,14914,27,81,0,58,26,6,1,0,42,0
245,94114,24,2,11,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,1
246,94109,24,2,21,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
247,94102,24,2,10,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
248,94103,24,2,7,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
249,94124,24,2,13,155.9,7298,11430,35954,29,192,0,204,33,16,3,1,36,4
250,94118,24,2,8,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,1
251,94102,24,2,19,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
252,94133,24,2,13,178.0,36931,14941,27885,34,140,1,84,51,8,5,4,39,8
253,94102,24,2,19,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,8
254,94103,24,2,22,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
255,94118,24,2,16,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,5
256,94105,24,2,15,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,8
257,94107,24,2,4,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,0
258,94117,24,2,22,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,1
259,94131,24,2,11,157.2,13828,13952,28756,16,72,0,71,16,10,3,0,17,3
260,94109,24,2,0,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
261,94105,24,2,2,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,1
262,94118,24,2,19,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,0
263,94121,24,2,20,163.0,14061,19311,43332,17,78,0,66,21,9,2,3,18,1
264,94110,24,2,15,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
265,94103,24,2,17,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
266,94133,24,2,10,178.0,36931,14941,27885,34,140,1,84,51,8,5,4,39,1
267,94102,24,2,12,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,0
268,94110,24,2,23,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
269,94102,24,2,7,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
270,94102,24,2,18,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
271,94109,24,2,9,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
272,94117,24,2,16,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,8
273,94109,24,2,18,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
274,94102,24,2,11,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
275,94124,24,2,17,155.9,7298,11430,35954,29,192,0,204,33,16,3,1,36,3
276,94102,24,2,4,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
277,94110,24,2,21,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,8
278,94124,24,2,13,155.9,7298,11430,35954,29,192,0,204,33,16,3,1,36,3
279,94114,24,2,10,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,4
280,94102,24,2,16,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
281,94112,24,2,12,154.3,25329,24570,85205,23,165,0,151,41,28,5,0,36,0
282,94117,24,2,9,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,4
283,94109,24,2,19,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
284,94134,24,2,19,155.2,17616,12699,42274,14,81,1,100,25,12,3,0,14,3
285,94102,24,2,8,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
286,94103,24,2,23,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,8
287,94102,24,2,4,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
288,94102,24,2,10,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
289,94109,24,2,23,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,3
290,94103,24,2,17,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
291,94108,24,2,10,175.6,55226,8997,14914,27,81,0,58,26,6,1,0,42,3
292,94109,24,2,0,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,0
293,94104,24,2,7,197.8,6392,360,496,6,26,0,15,9,2,2,0,15,0
294,94124,24,2,9,155.9,7298,11430,35954,29,192,0,204,33,16,3,1,36,8
295,94110,24,2,1,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
296,94110,24,2,5,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
297,94105,24,2,18,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,3
298,94112,24,2,1,154.3,25329,24570,85205,23,165,0,151,41,28,5,0,36,8
299,94118,24,2,16,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,1
300,94103,24,2,21,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
301,94105,24,2,2,151.8,18652,5258,6890,33,103,1,70,36,8,8,1,43,8
302,94118,24,2,3,164.4,21685,19115,42259,23,105,0,76,35,13,4,0,24,1
303,94107,24,2,1,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,4
304,94122,24,2,11,156.3,26616,24615,62918,26,132,0,93,30,9,5,0,29,3
305,94102,24,2,7,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
306,94110,24,2,12,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
307,94124,24,2,20,155.9,7298,11430,35954,29,192,0,204,33,16,3,1,36,3
308,94102,24,2,18,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
309,94114,24,2,18,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,8
310,94103,24,2,14,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,4
311,94110,24,2,11,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
312,94102,24,2,5,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,4
