,zipcode_of_incident,entry_timestamp,dispatch_timestamp,dispatch_time
8240,94127,2018-01-15 20:32:39,2018-01-15 20:33:05,26.0
9246,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9279,94127,2018-01-13 13:32:10,2018-01-13 13:53:55,1305.0
9316,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9404,94127,2018-01-13 13:32:10,2018-01-13 13:32:48,38.0
9435,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9461,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9554,94127,2018-01-13 23:26:45,2018-01-13 23:27:03,18.0
9647,94127,2018-01-13 23:26:45,2018-01-13 23:27:03,18.0
9649,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9655,94127,2018-01-13 17:44:58,2018-01-13 17:45:41,43.0
9696,94127,2018-01-13 13:32:10,2018-01-13 13:32:48,38.0
9794,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9803,94127,2018-01-13 22:47:47,2018-01-13 22:48:17,30.0
9832,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9880,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9894,94127,2018-01-13 22:47:47,2018-01-13 22:48:17,30.0
9924,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
9960,94127,2018-01-13 09:07:54,2018-01-13 09:08:09,15.0
